date,ARKK_shares_adj,ARKQ_shares_adj,combined_shares_adj,ARKK_weight_pct,ARKQ_weight_pct,ARKK_aum,TSLA_close
2021-07-01,10699560.0,1484109.0,12183669.0,9.55,10.84,25383912502.6178,225.97332763671875
2021-07-02,10605618.0,1482039.0,12087657.0,9.66,10.91,24809387696.89441,226.3000030517578
2021-07-06,10553121.0,1482039.0,12035160.0,9.75,11.04,24494064433.846153,219.86000061035156
2021-07-07,10528254.0,1479972.0,12008226.0,9.55,10.85,24238135334.45026,214.88333129882812
2021-07-08,10824528.0,1475838.0,12300366.0,9.87,10.73,23566470703.14083,217.60333251953125
2021-07-09,10801728.0,1475838.0,12277566.0,10.05,10.97,23387980284.179104,218.98333740234375
2021-07-12,10773228.0,1473771.0,12246999.0,9.93,10.83,23757878934.54179,228.56666564941406
2021-07-13,10818828.0,1473771.0,12292599.0,10.45,11.32,23663382327.272728,222.84666442871094
2021-07-14,10778928.0,1473771.0,12252699.0,10.4,11.15,23096617067.692307,217.7933349609375
2021-07-15,10670628.0,1469637.0,12140265.0,10.49,11.09,22154353106.577694,216.86666870117188
2021-07-16,10593678.0,1463436.0,12057114.0,10.57,11.17,21735247262.06244,214.74000549316406
2021-07-19,10570878.0,1459302.0,12030180.0,10.49,11.21,21639564744.709244,215.4066619873047
2021-07-20,10690578.0,1453101.0,12143679.0,10.51,11.33,21910768522.54995,220.1666717529297
2021-07-21,10787478.0,1451034.0,12238512.0,10.45,11.32,22727684909.09091,218.42999267578125
2021-07-22,10912878.0,1448967.0,12361845.0,10.14,11.04,23507888969.822483,216.4199981689453
2021-07-23,10796028.0,1448967.0,12244995.0,10.08,11.02,23179329164.285717,214.4600067138672
2021-07-26,10753278.0,1442766.0,12196044.0,9.98,10.97,23107695389.57916,219.2066650390625
2021-07-27,10764678.0,1442766.0,12207444.0,10.28,11.36,22954174923.346306,214.92666625976562
2021-07-28,10642128.0,1436565.0,12078693.0,10.31,11.45,22185034891.17362,215.66000366210938
2021-07-29,10653528.0,1434498.0,12088026.0,10.14,11.33,22658183910.05917,225.78334045410156
2021-07-30,10682028.0,1432431.0,12114459.0,10.58,11.59,22796066999.999996,229.06666564941406
2021-08-02,10502499.0,1430364.0,11932863.0,10.68,11.64,22525959153.558052,236.55667114257812
2021-08-03,10513695.0,1417962.0,11931657.0,10.93,11.75,22754662795.51693,236.5800018310547
2021-08-04,10452117.0,1407627.0,11859744.0,11.0,11.84,22479653089.636364,236.97332763671875
2021-08-05,10440921.0,1405560.0,11846481.0,10.76,12.19,22994608294.052044,238.2100067138672
2021-08-06,10058703.0,1403493.0,11462196.0,10.19,12.03,23514069103.33661,233.03334045410156
2021-08-09,10015791.0,1403493.0,11419284.0,10.16,11.83,22972570499.015747,237.9199981689453
2021-08-10,10026519.0,1403493.0,11430012.0,10.21,11.97,23364440749.06954,236.663330078125
2021-08-11,10018473.0,1403493.0,11421966.0,10.44,11.88,22710777922.318012,235.94000244140625
2021-08-12,9956718.0,1399359.0,11356077.0,10.43,11.79,22523375310.834133,240.75
2021-08-13,9959403.0,1397292.0,11356695.0,10.62,12.04,22577460190.677967,239.05667114257812
2021-08-16,9932553.0,1395225.0,11327778.0,10.68,12.19,22232612468.82023,228.72332763671875
2021-08-17,9868113.0,1391091.0,11259204.0,10.43,11.9,21640150518.40844,221.90333557128906
2021-08-18,9758028.0,1386957.0,11144985.0,10.25,11.68,21125257950.82927,229.663330078125
2021-08-19,9768756.0,1384890.0,11153646.0,10.62,12.05,21125471426.365353,224.49000549316406
2021-08-20,9768756.0,1376622.0,11145378.0,10.56,11.93,20766932144.318184,226.75332641601562
2021-08-23,9717741.0,1374555.0,11092296.0,10.51,11.93,20966033912.654613,235.43333435058594
2021-08-24,9808929.0,1372488.0,11181417.0,10.57,12.09,21848144284.76821,236.163330078125
2021-08-25,9838431.0,1370421.0,11208852.0,10.45,11.86,22234226408.89952,237.06666564941406
2021-08-26,9873297.0,1368354.0,11241651.0,10.49,11.84,22312960999.04671,233.72000122070312
2021-08-27,9862557.0,1366287.0,11228844.0,10.53,11.72,21890568110.541313,237.30667114257812
2021-08-30,9849132.0,1364220.0,11213352.0,10.46,11.7,22344786658.508602,243.6366729736328
2021-08-31,9833040.0,1360086.0,11193126.0,10.65,11.91,22494733228.169018,245.24000549316406
2021-09-01,9822312.0,1358019.0,11180331.0,10.76,12.05,22386838242.379185,244.69667053222656
2021-09-02,9822312.0,1358019.0,11180331.0,10.61,11.93,22653034923.279926,244.1300048828125
2021-09-03,9833052.0,1358019.0,11191071.0,10.49,11.81,22884108529.647285,244.52333068847656
2021-09-07,9739077.0,1358019.0,11097096.0,10.49,11.8,22701921559.86654,250.97332763671875
2021-09-08,9733707.0,1358019.0,11091726.0,10.79,12.07,22640416047.08063,251.2899932861328
2021-09-09,9302751.0,1334262.0,10637013.0,10.71,12.14,21827154984.03361,251.6199951171875
2021-09-10,9207288.0,1334262.0,10541550.0,10.57,12.14,21918049257.899715,245.42333984375
2021-09-13,9197052.0,1334262.0,10531314.0,10.41,11.98,21682720064.169067,247.6666717529297
2021-09-14,9186816.0,1330194.0,10517010.0,10.71,12.14,21244333295.985058,248.163330078125
2021-09-15,8965473.0,1326126.0,10291599.0,10.61,12.3,20969855462.67672,251.94332885742188
2021-09-16,8780010.0,1324092.0,10104102.0,10.45,12.42,21168085991.387558,252.3300018310547
